id,name_en,rarity,type,gender,slot_1,slot_2,slot_3,defense_base,defense_max,defense_augment_max,defense_fire,defense_water,defense_thunder,defense_ice,defense_dragon
96,Tzitzi Vambraces,3,arms,both,0,0,0,18,46,70,0,0,-3,-2,0
97,Tzitzi Coil,3,waist,both,0,0,0,18,46,70,0,0,-3,-2,0
98,Tzitzi Greaves,3,legs,both,0,0,0,18,46,70,0,0,-3,-2,0
99,Lumu Hat,3,head,both,0,0,0,20,48,72,-3,2,0,1,0
100,Lumu Mail,3,chest,both,0,0,0,20,48,72,-3,2,0,1,0
101,Lumu Vambraces,3,arms,both,0,0,0,20,48,72,-3,2,0,1,0
102,Lumu Coil,3,waist,both,0,0,0,20,48,72,-3,2,0,1,0
103,Lumu Greaves,3,legs,both,0,0,0,20,48,72,-3,2,0,1,0
104,Girros Mask,3,head,both,0,0,0,20,48,72,0,-3,2,0,1
105,Girros Mail,3,chest,both,0,0,0,20,48,72,0,-3,2,0,1
106,Girros Vambraces,3,arms,both,0,0,0,20,48,72,0,-3,2,0,1
107,Girros Coil,3,waist,both,0,0,0,20,48,72,0,-3,2,0,1
108,Girros Greaves,3,legs,both,0,0,0,20,48,72,0,-3,2,0,1
109,Baan Helm,3,head,both,0,0,0,24,52,76,0,2,0,-1,-2
110,Baan Mail,3,chest,both,0,0,0,24,52,76,0,2,0,-1,-2
111,Baan Vambraces,3,arms,both,0,0,0,24,52,76,0,2,0,-1,-2
112,Baan Coil,3,waist,both,0,0,0,24,52,76,0,2,0,-1,-2
113,Baan Greaves,3,legs,both,0,0,0,24,52,76,0,2,0,-1,-2
114,Ingot Helm,4,head,both,0,0,0,28,52,72,-2,0,3,-1,0
115,Ingot Mail,4,chest,both,0,0,0,28,52,72,-2,0,3,-1,0
116,Ingot Vambraces,4,arms,both,0,0,0,28,52,72,-2,0,3,-1,0
117,Ingot Coil,4,waist,both,0,0,0,28,52,72,-2,0,3,-1,0
118,Ingot Greaves,4,legs,both,0,0,0,28,52,72,-2,0,3,-1,0
119,Death Stench Brain,4,head,both,0,0,0,32,56,76,3,2,-2,3,-4
120,Death Stench Muscle,4,chest,both,0,0,0,32,56,76,3,2,-2,3,-4
121,Death Stench Grip,4,arms,both,0,0,0,32,56,76,3,2,-2,3,-4
122,Death Stench Bowels,4,waist,both,0,0,0,32,56,76,3,2,-2,3,-4
123,Death Stench Heel,4,legs,both,0,0,0,32,56,76,3,2,-2,3,-4
124,Brigade Lobos,4,head,both,0,0,0,28,52,72,1,0,2,0,2
125,Brigade Suit,4,chest,both,0,0,0,28,52,72,1,0,2,0,2
126,Brigade Vambraces,4,arms,both,0,0,0,28,52,72,1,0,2,0,2
127,Brigade Coil,4,waist,both,0,0,0,28,52,72,1,0,2,0,2
128,Brigade Boots,4,legs,both,0,0,0,28,52,72,1,0,2,0,2
129,Legiana Helm,4,head,both,0,0,0,30,54,74,-1,2,-3,3,0
130,Legiana Mail,4,chest,both,0,0,0,30,54,74,-1,2,-3,3,0
131,Legiana Vambraces,4,arms,both,0,0,0,30,54,74,-1,2,-3,3,0
132,Legiana Coil,4,waist,both,0,0,0,30,54,74,-1,2,-3,3,0
133,Legiana Greaves,4,legs,both,0,0,0,30,54,74,-1,2,-3,3,0
134,Odogaron Helm,4,head,both,0,0,0,30,54,74,2,2,-2,-3,0
135,Odogaron Mail,4,chest,both,0,0,0,30,54,74,2,2,-2,-3,0
136,Odogaron Vambraces,4,arms,both,0,0,0,30,54,74,2,2,-2,-3,0
137,Odogaron Coil,4,waist,both,0,0,0,30,54,74,2,2,-2,-3,0
138,Odogaron Greaves,4,legs,both,0,0,0,30,54,74,2,2,-2,-3,0
139,Rathalos Helm,4,head,both,0,0,0,30,54,74,3,1,-2,1,-3
140,Rathalos Mail,4,chest,both,0,0,0,30,54,74,3,1,-2,1,-3
141,Rathalos Vambraces,4,arms,both,0,0,0,30,54,74,3,1,-2,1,-3
142,Rathalos Coil,4,waist,both,0,0,0,30,54,74,3,1,-2,1,-3
143,Rathalos Greaves,4,legs,both,0,0,0,30,54,74,3,1,-2,1,-3
144,Diablos Helm,4,head,both,0,0,0,32,56,76,3,-2,0,-3,2
145,Diablos Mail,4,chest,both,0,0,0,32,56,76,3,-2,0,-3,2
146,Diablos Vambraces,4,arms,both,0,0,0,32,56,76,3,-2,0,-3,2
147,Diablos Coil,4,waist,both,0,0,0,32,56,76,3,-2,0,-3,2
148,Diablos Greaves,4,legs,both,0,0,0,32,56,76,3,-2,0,-3,2
149,Kirin Horn,4,head,both,0,0,0,34,58,78,-3,-2,4,-2,2
150,Kirin Jacket,4,chest,both,0,0,0,34,58,78,-3,-2,4,-2,2
151,Kirin Longarms,4,arms,both,0,0,0,34,58,78,-3,-2,4,-2,2
152,Kirin Hoop,4,waist,both,0,0,0,34,58,78,-3,-2,4,-2,2
153,Kirin Leg Guards,4,legs,both,0,0,0,34,58,78,-3,-2,4,-2,2
154,Blossom Headgear,3,head,both,0,0,0,18,46,70,1,1,4,1,1
155,Blossom Vest,3,chest,both,0,0,0,18,46,70,1,1,4,1,1
156,Blossom Cuffs,3,arms,both,0,0,0,18,46,70,1,1,4,1,1
157,Blossom Coat,3,waist,both,0,0,0,18,46,70,1,1,4,1,1
158,Blossom Boots,3,legs,both,0,0,0,18,46,70,1,1,4,1,1
743,Diver's Mask,3,head,both,0,0,0,22,50,74,1,4,1,1,1
744,Diver's Suit,3,chest,both,0,0,0,22,50,74,1,4,1,1,1
745,Diver's Braces,3,arms,both,0,0,0,22,50,74,1,4,1,1,1
746,Diver's Belt,3,waist,both,0,0,0,22,50,74,1,4,1,1,1
747,Diver's Boots,3,legs,both,0,0,0,22,50,74,1,4,1,1,1
693,Harvest Flor,3,head,both,0,0,0,26,54,78,4,1,1,1,1
694,Harvest Tronco,3,chest,both,0,0,0,26,54,78,4,1,1,1,1
695,Harvest Trama,3,arms,both,0,0,0,26,54,78,4,1,1,1,1
696,Harvest Hoja,3,waist,both,0,0,0,26,54,78,4,1,1,1,1
697,Harvest Raiz,3,legs,both,0,0,0,26,54,78,4,1,1,1,1
698,Orion Cap,4,head,both,0,0,0,30,54,74,1,1,1,4,1
699,Orion Vest,4,chest,both,0,0,0,30,54,74,1,1,1,4,1
700,Orion Vambraces,4,arms,both,0,0,0,30,54,74,1,1,1,4,1
701,Orion Coat,4,waist,both,0,0,0,30,54,74,1,1,1,4,1
702,Orion Boots,4,legs,both,0,0,0,30,54,74,1,1,1,4,1
728,Gala Suit Top Hat,4,head,both,0,0,0,34,58,78,1,1,1,1,4
729,Gala Suit Jacket,4,chest,both,0,0,0,34,58,78,1,1,1,1,4
730,Gala Suit Cuffs,4,arms,both,0,0,0,34,58,78,1,1,1,1,4
731,Gala Suit Tail,4,waist,both,0,0,0,34,58,78,1,1,1,1,4
727,Gala Suit Slacks,4,legs,both,0,0,0,34,58,78,1,1,1,1,4
73,Butterfly Vertex,3,head,male,0,0,0,22,50,74,-1,-1,2,0,2
74,Butterfly Thorax,3,chest,male,0,0,0,22,50,74,-1,-1,2,0,2
75,Butterfly Brachia,3,arms,male,0,0,0,22,50,74,-1,-1,2,0,2
76,Butterfly Elytra,3,waist,male,0,0,0,22,50,74,-1,-1,2,0,2
77,Butterfly Crura,3,legs,male,0,0,0,22,50,74,-1,-1,2,0,2
159,Leather Headgear Alpha,5,head,both,0,0,0,32,54,70,2,0,0,0,0
160,Leather Mail Alpha,5,chest,both,0,0,0,32,54,70,2,0,0,0,0
161,Leather Gloves Alpha,5,arms,both,0,0,0,32,54,70,2,0,0,0,0
162,Leather Belt Alpha,5,waist,both,0,0,0,32,54,70,2,0,0,0,0
163,Leather Trousers Alpha,5,legs,both,0,0,0,32,54,70,2,0,0,0,0
164,Leather Headgear Beta,5,head,both,1,0,0,32,54,70,2,0,0,0,0
165,Leather Mail Beta,5,chest,both,1,0,0,32,54,70,2,0,0,0,0
166,Leather Gloves Beta,5,arms,both,1,0,0,32,54,70,2,0,0,0,0
167,Leather Belt Beta,5,waist,both,1,0,0,32,54,70,2,0,0,0,0
168,Leather Trousers Beta,5,legs,both,1,0,0,32,54,70,2,0,0,0,0
169,Chainmail Headgear Alpha,5,head,both,0,0,0,32,54,70,0,2,0,0,0
170,Chainmail Armor Alpha,5,chest,both,0,0,0,32,54,70,0,2,0,0,0
171,Chainmail Gloves Alpha,5,arms,both,0,0,0,32,54,70,0,2,0,0,0
172,Chainmail Belt Alpha,5,waist,both,0,0,0,32,54,70,0,2,0,0,0
173,Chainmail Trousers Alpha,5,legs,both,0,0,0,32,54,70,0,2,0,0,0
174,Chainmail Headgear Beta,5,head,both,1,0,0,32,54,70,0,2,0,0,0
175,Chainmail Armor Beta,5,chest,both,1,0,0,32,54,70,0,2,0,0,0
176,Chainmail Gloves Beta,5,arms,both,1,0,0,32,54,70,0,2,0,0,0
177,Chainmail Belt Beta,5,waist,both,1,0,0,32,54,70,0,2,0,0,0
178,Chainmail Trousers Beta,5,legs,both,1,0,0,32,54,70,0,2,0,0,0
179,Hunter's Headgear Alpha,5,head,both,0,0,0,36,58,74,2,2,0,0,0
180,Hunter's Mail Alpha,5,chest,both,0,0,0,36,58,74,2,2,0,0,0
181,Hunter's Vambraces Alpha,5,arms,both,0,0,0,36,58,74,2,2,0,0,0
182,Hunter's Coil Alpha,5,waist,both,0,0,0,36,58,74,2,2,0,0,0
183,Hunter's Greaves Alpha,5,legs,both,0,0,0,36,58,74,2,2,0,0,0
184,Hunter's Headgear Beta,5,head,both,1,0,0,36,58,74,2,2,0,0,0
185,Hunter's Mail Beta,5,chest,both,1,0,0,36,58,74,2,2,0,0,0
186,Hunter's Vambraces Beta,5,arms,both,1,0,0,36,58,74,2,2,0,0,0
187,Hunter's Coil Beta,5,waist,both,1,0,0,36,58,74,2,2,0,0,0
188,Hunter's Greaves Beta,5,legs,both,1,0,0,36,58,74,2,2,0,0,0
189,Bone Helm Alpha,5,head,both,0,0,0,36,58,74,2,0,2,0,2
190,Bone Mail Alpha,5,chest,both,0,0,0,36,58,74,2,0,2,0,2
191,Bone Vambraces Alpha,5,arms,both,0,0,0,36,58,74,2,0,2,0,2
192,Bone Coil Alpha,5,waist,both,0,0,0,36,58,74,2,0,2,0,2
193,Bone Greaves Alpha,5,legs,both,0,0,0,36,58,74,2,0,2,0,2
194,Bone Helm Beta,5,head,both,1,0,0,36,58,74,2,0,2,0,2
195,Bone Mail Beta,5,chest,both,1,0,0,36,58,74,2,0,2,0,2
196,Bone Vambraces Beta,5,arms,both,1,0,0,36,58,74,2,0,2,0,2
197,Bone Coil Beta,5,waist,both,1,0,0,36,58,74,2,0,2,0,2
198,Bone Greaves Beta,5,legs,both,1,0,0,36,58,74,2,0,2,0,2
199,Alloy Helm Alpha,5,head,both,0,0,0,36,58,74,-2,0,-2,-2,0
200,Alloy Mail Alpha,5,chest,both,0,0,0,36,58,74,-2,0,-2,-2,0
201,Alloy Vambraces Alpha,5,arms,both,0,0,0,36,58,74,-2,0,-2,-2,0
202,Alloy Coil Alpha,5,waist,both,0,0,0,36,58,74,-2,0,-2,-2,0
203,Alloy Greaves Alpha,5,legs,both,0,0,0,36,58,74,-2,0,-2,-2,0
204,Alloy Helm Beta,5,head,both,1,0,0,36,58,74,-2,0,-2,-2,0
205,Alloy Mail Beta,5,chest,both,1,0,0,36,58,74,-2,0,-2,-2,0
206,Alloy Vambraces Beta,5,arms,both,1,0,0,36,58,74,-2,0,-2,-2,0
207,Alloy Coil Beta,5,waist,both,1,0,0,36,58,74,-2,0,-2,-2,0
208,Alloy Greaves Beta,5,legs,both,1,0,0,36,58,74,-2,0,-2,-2,0
209,King Beetle Vertex Alpha,5,head,male,0,0,0,42,64,80,-1,-1,2,0,2
210,King Beetle Thorax Alpha,5,chest,male,0,0,0,42,64,80,-1,-1,2,0,2
211,King Beetle Brachia Alpha,5,arms,male,1,0,0,42,64,80,-1,-1,2,0,2
212,King Beetle Elytra Alpha,5,waist,male,1,0,0,42,64,80,-1,-1,2,0,2
213,King Beetle Crura Alpha,5,legs,male,1,0,0,42,64,80,-1,-1,2,0,2
214,King Beetle Vertex Beta,5,head,male,1,0,0,42,64,80,-1,-1,2,0,2
215,King Beetle Thorax Beta,5,chest,male,1,0,0,42,64,80,-1,-1,2,0,2
216,King Beetle Brachia Beta,5,arms,male,2,1,0,42,64,80,-1,-1,2,0,2
217,King Beetle Elytra Beta,5,waist,male,2,1,0,42,64,80,-1,-1,2,0,2
218,King Beetle Crura Beta,5,legs,male,2,1,0,42,64,80,-1,-1,2,0,2
229,Vespoid Helm Alpha,5,head,both,0,0,0,38,60,76,-2,1,1,1,2
230,Vespoid Mail Alpha,5,chest,both,0,0,0,38,60,76,-2,1,1,1,2
231,Vespoid Vambraces Alpha,5,arms,both,0,0,0,38,60,76,-2,1,1,1,2
232,Vespoid Coil Alpha,5,waist,both,0,0,0,38,60,76,-2,1,1,1,2
233,Vespoid Greaves Alpha,5,legs,both,0,0,0,38,60,76,-2,1,1,1,2
234,Vespoid Helm Beta,5,head,both,1,0,0,38,60,76,-2,1,1,1,2
235,Vespoid Mail Beta,5,chest,both,1,0,0,38,60,76,-2,1,1,1,2
236,Vespoid Vambraces Beta,5,arms,both,1,0,0,38,60,76,-2,1,1,1,2
237,Vespoid Coil Beta,5,waist,both,1,0,0,38,60,76,-2,1,1,1,2
238,Vespoid Greaves Beta,5,legs,both,1,0,0,38,60,76,-2,1,1,1,2
239,Hornetaur Helm Alpha,5,head,both,0,0,0,38,60,76,-1,-1,0,0,2
240,Hornetaur Mail Alpha,5,chest,both,0,0,0,38,60,76,-1,-1,0,0,2
241,Hornetaur Vambraces Alpha,5,arms,both,0,0,0,38,60,76,-1,-1,0,0,2
242,Hornetaur Coil Alpha,5,waist,both,0,0,0,38,60,76,-1,-1,0,0,2
243,Hornetaur Greaves Alpha,5,legs,both,0,0,0,38,60,76,-1,-1,0,0,2
244,Hornetaur Helm Beta,5,head,both,1,0,0,38,60,76,-1,-1,0,0,2
245,Hornetaur Mail Beta,5,chest,both,1,0,0,38,60,76,-1,-1,0,0,2
246,Hornetaur Vambraces Beta,5,arms,both,1,0,0,38,60,76,-1,-1,0,0,2
247,Hornetaur Coil Beta,5,waist,both,1,0,0,38,60,76,-1,-1,0,0,2
248,Hornetaur Greaves Beta,5,legs,both,1,0,0,38,60,76,-1,-1,0,0,2
249,Mosswine Mask Alpha,5,head,both,0,0,0,40,62,78,2,2,2,2,2
250,Kestodon Guards Alpha,5,arms,both,0,0,0,40,62,78,4,0,0,0,0
251,Kestodon Guards Beta,5,arms,both,1,0,0,40,62,78,4,0,0,0,0
252,Gajau Boots Alpha,5,legs,both,0,0,0,40,62,78,0,5,0,0,0
253,Gajau Boots Beta,5,legs,both,1,0,0,40,62,78,0,5,0,0,0
254,Shamos Goggles Alpha,5,head,both,0,0,0,40,62,78,2,2,0,-3,0
255,Shamos Goggles Beta,5,head,both,1,0,0,40,62,78,2,2,0,-3,0
256,Jagras Helm Alpha,5,head,both,0,0,0,40,62,78,-2,2,-1,-1,1
257,Jagras Mail Alpha,5,chest,both,0,0,0,40,62,78,-2,2,-1,-1,1
258,Jagras Vambraces Alpha,5,arms,both,0,0,0,40,62,78,-2,2,-1,-1,1
259,Jagras Coil Alpha,5,waist,both,0,0,0,40,62,78,-2,2,-1,-1,1
260,Jagras Greaves Alpha,5,legs,both,0,0,0,40,62,78,-2,2,-1,-1,1
261,Jagras Helm Beta,5,head,both,1,0,0,40,62,78,-2,2,-1,-1,1
262,Jagras Mail Beta,5,chest,both,1,0,0,40,62,78,-2,2,-1,-1,1
263,Jagras Vambraces Beta,5,arms,both,1,0,0,40,62,78,-2,2,-1,-1,1
264,Jagras Coil Beta,5,waist,both,1,0,0,40,62,78,-2,2,-1,-1,1
265,Jagras Greaves Beta,5,legs,both,1,0,0,40,62,78,-2,2,-1,-1,1
266,Kulu Headpiece Alpha,5,head,both,0,0,0,40,62,78,0,-3,0,1,0
267,Kulu Mail Alpha,5,chest,both,0,0,0,40,62,78,0,-3,0,1,0
268,Kulu Vambraces Alpha,5,arms,both,0,0,0,40,62,78,0,-3,0,1,0
269,Kulu Coil Alpha,5,waist,both,0,0,0,40,62,78,0,-3,0,1,0
270,Kulu Greaves Alpha,5,legs,both,0,0,0,40,62,78,0,-3,0,1,0
271,Kulu Headpiece Beta,5,head,both,1,1,0,40,62,78,0,-3,0,1,0
272,Kulu Mail Beta,5,chest,both,1,0,0,40,62,78,0,-3,0,1,0
273,Kulu Vambraces Beta,5,arms,both,2,0,0,40,62,78,0,-3,0,1,0
274,Kulu Coil Beta,5,waist,both,2,0,0,40,62,78,0,-3,0,1,0
275,Kulu Greaves Beta,5,legs,both,1,0,0,40,62,78,0,-3,0,1,0
276,Tzitzi Headgear Alpha,5,head,both,0,0,0,40,62,78,0,0,-3,-2,0
277,Tzitzi Mail Alpha,5,chest,both,0,0,0,40,62,78,0,0,-3,-2,0
278,Tzitzi Vambraces Alpha,5,arms,both,0,0,0,40,62,78,0,0,-3,-2,0
279,Tzitzi Coil Alpha,5,waist,both,0,0,0,40,62,78,0,0,-3,-2,0
280,Tzitzi Greaves Alpha,5,legs,both,0,0,0,40,62,78,0,0,-3,-2,0
281,Tzitzi Headgear Beta,5,head,both,1,0,0,40,62,78,0,0,-3,-2,0
282,Tzitzi Mail Beta,5,chest,both,1,1,0,40,62,78,0,0,-3,-2,0
283,Tzitzi Vambraces Beta,5,arms,both,1,0,0,40,62,78,0,0,-3,-2,0
284,Tzitzi Coil Beta,5,waist,both,2,0,0,40,62,78,0,0,-3,-2,0
285,Tzitzi Greaves Beta,5,legs,both,1,0,0,40,62,78,0,0,-3,-2,0
286,Girros Mask Alpha,5,head,both,0,0,0,40,62,78,0,-3,2,0,1
287,Girros Mail Alpha,5,chest,both,0,0,0,40,62,78,0,-3,2,0,1
288,Girros Vambraces Alpha,5,arms,both,0,0,0,40,62,78,0,-3,2,0,1
289,Girros Coil Alpha,5,waist,both,0,0,0,40,62,78,0,-3,2,0,1
290,Girros Greaves Alpha,5,legs,both,0,0,0,40,62,78,0,-3,2,0,1
291,Girros Mask Beta,5,head,both,1,0,0,40,62,78,0,-3,2,0,1
292,Girros Mail Beta,5,chest,both,1,0,0,40,62,78,0,-3,2,0,1
293,Girros Vambraces Beta,5,arms,both,1,0,0,40,62,78,0,-3,2,0,1
294,Girros Coil Beta,5,waist,both,1,0,0,40,62,78,0,-3,2,0,1
295,Girros Greaves Beta,5,legs,both,1,0,0,40,62,78,0,-3,2,0,1
296,Pukei Hood Alpha,5,head,both,0,0,0,42,64,80,0,3,-3,0,1
297,Pukei Mail Alpha,5,chest,both,0,0,0,42,64,80,0,3,-3,0,1
298,Pukei Vambraces Alpha,5,arms,both,0,0,0,42,64,80,0,3,-3,0,1
299,Pukei Coil Alpha,5,waist,both,0,0,0,42,64,80,0,3,-3,0,1
300,Pukei Greaves Alpha,5,legs,both,0,0,0,42,64,80,0,3,-3,0,1
301,Pukei Hood Beta,5,head,both,1,1,0,42,64,80,0,3,-3,0,1
302,Pukei Mail Beta,5,chest,both,1,0,0,42,64,80,0,3,-3,0,1
303,Pukei Vambraces Beta,5,arms,both,1,1,0,42,64,80,0,3,-3,0,1
304,Pukei Coil Beta,5,waist,both,1,0,0,42,64,80,0,3,-3,0,1
305,Pukei Greaves Beta,5,legs,both,2,0,0,42,64,80,0,3,-3,0,1
306,Barroth Helm Alpha,5,head,both,0,0,0,42,64,80,-3,-1,3,-1,0
307,Barroth Mail Alpha,5,chest,both,0,0,0,42,64,80,-3,-1,3,-1,0
308,Barroth Vambraces Alpha,5,arms,both,0,0,0,42,64,80,-3,-1,3,-1,0
309,Barroth Coil Alpha,5,waist,both,0,0,0,42,64,80,-3,-1,3,-1,0
310,Barroth Greaves Alpha,5,legs,both,0,0,0,42,64,80,-3,-1,3,-1,0
311,Barroth Helm Beta,5,head,both,1,0,0,42,64,80,-3,-1,3,-1,0
312,Barroth Mail Beta,5,chest,both,1,0,0,42,64,80,-3,-1,3,-1,0
313,Barroth Vambraces Beta,5,arms,both,1,0,0,42,64,80,-3,-1,3,-1,0
314,Barroth Coil Beta,5,waist,both,2,0,0,42,64,80,-3,-1,3,-1,0
